Название,Жанр,Режиссер,Страна,Год,qw
"Сатана (фильм, 1912)","драматический фильм, немое кино, экранизация книги",Луиджи Маджи,Италия,1912,1
Саспенс (фильм),Фильм нуар,Фрэнк Таттл,США,1946,1
"Сасквоч, легенда о Бигфуте",псевдодокументальный фильм,Эд Рагоццино,США,1976,1
Сары Гялин (фильм),"военный фильм, драма",Явер Рзаев,Азербайджан,1998,1
Саратовский подход,"триллер, драма",Гарретт Бэтти,"США, Украина",2013,1
Саратога (фильм),"драма, комедия, мелодрама",Джек Конуэй,США,1937,1
"Саранча (фильм, 2013)","драма, криминал, триллер",Егор Баранов,Россия,2013,1
Сарабанда (фильм),драма,Ингмар Бергман,"Швеция, Италия, Германия, Финляндия, Дания, Австрия",2003,1
"Сара, высокая и простая женщина: Конец зимы",мелодрама,Гленн Джордан,США,21 ноября 1999,1
"Сара, высокая и простая женщина",мелодрама,Гленн Джордан,США,1991,1
Сапфир (фильм),"детективный фильм, социальная драма",Бэзил Дирден,Великобритания,1959,1
Сара (фильм),"короткометражный, драма",Констанс Коутна Стэн),США,2010,1
Сапожник (фильм),"драма, фэнтези, комедия",Том Маккарти,США,2014,1
Сапожки (фильм),экранизация,Алексей Поляков,СССР,1972,1
Сапоги всмятку,трагикомедия,Михаил Ильенко,СССР,1977,1
"Сатана (фильм, 1990)","драма, триллер",Виктор Аристов,СССР,1990,1
Сапоги (фильм),комедия,Владимир Немоляев,СССР,,1
Сапёры в Ингольштадте,"драма, комедия",Райнер Вернер Фасбиндер,Германия,1971,1
Санти и Вина,драма,Раттана Пестонжи,Таиланд,1954,1
Санто в музее восковых фигур,ужасы,Альфонсо Корона Блэйк,Мексика,1963,1
Санта-Хрякус (фильм),"фэнтези, комедия",Вадим Жан,Великобритания,2006,1
Санта-Клаус завоёвывает марсиан,фантастика,Николас Вебстер,США,1964,1
Санта-Клаус 3,"комедия, семейный фильм, фэнтези",Майкл Лембек,США,2006,1
"Санта-Клаус (фильм, 1994)","комедия, драма, семейный фильм, фэнтези",Джон Пасквин,США,"11 ноября, 1994",1
"Санта-Клаус (фильм, 1898)",фэнтези,Джордж Альберт Смит,Великобритания,1898,1
Санта-киллер,"чёрная комедия, слэшер",Дэвид Стейман,США,2005,1
Санта-Клаус 2,"комедия, семейный фильм, фэнтези",Майкл Лембек,США,2002,1
Санта Эсперанса (фильм),драматический фильм,Себастьян Аларкон,СССР,1979,1
